Id,DISTRICT,STATE-todel,ASSAULT ON WOMEN,DACOITY,DOWRY DEATHS,KIDNAPPING AND ABDUCTION,MAJOR_CRIMES_TOTAL,MURDER,RAPE,RIOTS,ROBBERY,THEFT,total_crime,YEAR
429,CAW,Delhi,1,0,0,0,1,0,0,0,0,0,194,2009
430,CENTRAL,Delhi,34,0,6,93,1568,28,28,4,33,1375,2833,2009
431,CRIME BRANCH,Delhi,0,0,0,0,7,1,2,0,1,4,91,2009
432,DELHI UT TOTAL,Delhi,552,36,141,2536,26038,552,469,57,515,21731,50251,2009
433,EAST,Delhi,81,9,10,299,3522,56,52,9,52,3015,6379,2009
434,EOW,Delhi,1,0,0,0,1,0,0,0,0,0,190,2009
435,GRP(RLY),Delhi,0,2,1,11,750,9,4,0,10,725,864,2009
436,IGI AIRPORT,Delhi,2,1,0,2,71,1,0,0,1,66,569,2009
437,NEW DELHI,Delhi,17,2,1,46,659,5,6,3,14,581,1492,2009
438,NORTH,Delhi,35,1,8,140,1357,44,19,4,24,1107,2908,2009
439,NORTH-EAST,Delhi,67,5,15,375,2671,74,47,7,53,2086,4720,2009
440,NORTH-WEST,Delhi,39,6,13,218,2545,56,54,6,118,2159,4676,2009
441,OUTER,Delhi,61,3,21,332,2509,74,41,6,21,1974,4969,2009
442,SOUTH,Delhi,45,0,10,133,2785,42,42,7,36,2506,5353,2009
443,SOUTH-EAST,Delhi,78,1,18,318,3165,48,59,3,62,2641,6267,2009
444,SOUTH-WEST,Delhi,53,4,17,241,1774,65,52,5,44,1341,3610,2009
445,STF,Delhi,0,0,0,0,0,0,0,0,0,0,25,2009
446,WEST,Delhi,38,2,21,328,2653,49,63,3,46,2151,5111,2009
447,CENTRAL,Delhi,,,2,283,,9,76,,165,7362,2114,2017
448,CRIME BRANCH,Delhi,,,0,2,,1,2,,0,2,2336,2017
449,EAST,Delhi,,,4,339,,28,106,,220,14186,2437,2017
450,EOW,Delhi,,,0,0,,0,0,,0,0,2687,2017
451,I.G.I. AIRPORT,Delhi,,,0,1,,1,1,,0,263,4560,2017
452,METRO,Delhi,,,0,13,,0,0,,2,12786,4390,2017
453,NEW DELHI,Delhi,,,1,64,,4,10,,33,2599,2204,2017
454,NORTH,Delhi,,,2,256,,35,35,,109,7713,3395,2017
455,NORTH EAST,Delhi,,,24,718,,49,99,,473,11552,3469,2017
456,NORTH WEST,Delhi,,,7,580,,48,116,,348,15913,983,2017
457,OUTER,Delhi,,,19,726,,53,115,,216,10688,1728,2017
458,RAILWAY,Delhi,,,0,27,,7,2,,10,4149,3421,2017
459,SOUTH,Delhi,,,9,448,,35,123,,255,15838,5671,2017
460,SOUTH WEST,Delhi,,,7,537,,41,102,,188,14585,2179,2017
461,SOUTH-WEST,Delhi,,,8,271,,11,86,,92,6864,3756,2017
462,spl CELL,Delhi,,,0,0,,0,0,,0,0,6313,2017
463,SPUWAC,Delhi,,,0,0,,0,0,,0,0,1868,2017
464,VIGILANCE,Delhi,,,0,0,,0,0,,0,0,1193,2017
465,WEST,Delhi,,,5,311,,23,79,,295,13790,2493,2017
466,ROHINI,Delhi,,,18,664,,74,120,,334,14620,3809,2017
467,SHAHDARA,Delhi,,,5,285,,18,62,,258,11565,3796,2017
468,DWARKA,Delhi,,,9,570,,50,95,,149,9521,3807,2017
469,CENTRAL,Delhi,171,,9,237,,21,67,,,8047,11426,2018
470,CRIME BRANCH,Delhi,1,,0,3,,3,2,,,5,117,2018
471,EAST,Delhi,173,,4,387,,26,110,,,14514,17608,2018
472,EOW,Delhi,0,,0,0,,0,0,,,0,266,2018
473,I.G.I. AIRPORT,Delhi,14,,0,0,,1,0,,,242,643,2018
474,METRO,Delhi,18,,0,2,,1,0,,,5510,5610,2018
475,NEW DELHI,Delhi,51,,0,61,,7,13,,,2162,3026,2018
476,NORTH,Delhi,138,,3,254,,23,52,,,12269,14972,2018
477,NORTH EAST,Delhi,180,,18,629,,39,81,,,13794,18114,2018
478,NORTH WEST,Delhi,191,,14,581,,59,138,,,20677,25960,2018
479,OUTER,Delhi,274,,24,781,,54,108,,,12935,18194,2018
480,RAILWAY,Delhi,9,,0,24,,4,1,,,3298,3404,2018
481,SOUTH,Delhi,212,,15,467,,39,95,,,18968,23484,2018
482,SOUTH WEST,Delhi,244,,16,495,,48,105,,,18362,22645,2018
483,SOUTH-WEST,Delhi,199,,7,425,,17,95,,,8971,12170,2018
484,spl CELL,Delhi,3,,0,1,,0,1,,,0,56,2018
485,SPUWAC,Delhi,0,,0,0,,0,0,,,0,87,2018
486,VIGILANCE,Delhi,0,,0,0,,0,0,,,0,0,2018
487,WEST,Delhi,216,,7,318,,32,92,,,13967,18253,2018
488,ROHINI,Delhi,214,,10,595,,69,93,,,16863,21282,2018
489,SHAHDARA,Delhi,152,,8,273,,24,59,,,12251,14683,2018
490,DWARKA,Delhi,245,,18,530,,46,103,,,12853,17012,2018
491,Alapuzha,Kerala,176,6,0,21,994,27,40,443,43,287,7842,2010
492,Ernakulam Commr.,Kerala,67,2,2,8,578,4,20,244,34,233,25735,2010
493,Ernakulam Rural,Kerala,146,3,1,14,852,25,42,323,56,301,12225,2010
494,Idukki,Kerala,177,1,0,7,684,15,33,307,11,145,8620,2010
495,Kannur,Kerala,131,12,0,11,1282,26,23,935,61,156,5850,2010
496,Kasargod,Kerala,93,1,1,9,670,8,23,428,22,108,3238,2010
497,Kollam,Kerala,364,6,4,36,1793,40,55,894,37,400,11879,2010
498,Kottayam,Kerala,236,2,0,11,979,17,46,423,32,246,8151,2010
499,Kozhikode Commr.,Kerala,70,2,1,11,733,7,16,265,73,363,3938,2010
500,Kozhikode Rural,Kerala,146,9,1,17,1172,16,35,838,16,119,7358,2010
501,Malappuram,Kerala,156,8,0,21,1251,14,49,705,41,306,9196,2010
502,Palakkad,Kerala,96,2,4,11,911,42,49,523,13,186,10449,2010
503,Pathanamthitta,Kerala,132,1,2,11,701,19,29,328,24,180,4971,2010
504,Railways,Kerala,12,0,0,1,243,1,0,6,9,223,333,2010
505,Thrissur,Kerala,205,6,1,16,1388,30,49,791,43,296,11420,2010
506,Thrissur Commr.,Kerala,194,4,3,22,1162,15,27,477,76,424,5652,2010
507,Trivandrum Rural,Kerala,476,8,1,31,1570,42,68,610,42,342,8696,2010
508,Wayanadu,Kerala,59,1,1,3,357,15,30,184,3,65,2760,2010
509,Alapuzha,Kerala,245,1,1,15,1083,25,56,473,35,268,9927,2011
510,Ernakulam Commr.,Kerala,149,6,1,11,1038,26,62,502,31,287,13192,2011
511,Ernakulam Rural,Kerala,105,6,0,12,812,15,30,343,38,307,34638,2011
512,Idukki,Kerala,169,3,0,10,710,20,54,296,23,161,6196,2011
513,Kannur,Kerala,161,6,0,14,1572,20,55,1065,94,257,7989,2011
514,Kasargod,Kerala,136,5,0,15,1027,19,125,607,35,125,3942,2011
515,Kollam Commr,Kerala,192,4,1,21,1108,14,51,602,16,227,6357,2011
516,Kollam Rural,Kerala,255,1,0,13,973,29,46,460,24,170,6536,2011
517,Kottayam,Kerala,258,3,2,24,1123,22,51,485,30,281,8448,2011
518,Kozhikode Commr.,Kerala,124,0,0,11,841,5,14,446,48,241,3996,2011
519,Kozhikode Rural,Kerala,179,2,1,21,1413,12,46,997,27,157,7409,2011
520,Malappuram,Kerala,232,8,0,24,1554,13,83,822,59,380,13026,2011
521,Palakkad,Kerala,156,5,2,13,1217,41,85,684,36,236,7721,2011
522,Pathanamthitta,Kerala,157,0,0,17,827,20,33,418,20,182,5532,2011
523,Railways,Kerala,25,0,0,0,282,1,0,6,2,250,362,2011
524,Thrissur,Kerala,100,7,0,12,654,8,28,362,28,144,4891,2011
525,Thrissur Commr.,Kerala,263,3,1,12,1217,24,69,597,34,251,11486,2011
526,Trivandrum commd,Kerala,241,2,0,25,1246,8,39,526,79,407,6591,2011
527,Trivandrum Rural,Kerala,547,8,4,21,1892,32,140,858,69,290,9642,2011
528,Wayanadu,Kerala,62,1,2,8,436,11,65,205,13,83,4256,2011
529,Alapuzha,Kerala,250,2,1,18,1117,20,44,553,16,231,8555,2012
530,Ernakulam Commr.,Kerala,108,5,0,6,852,9,28,393,25,308,17324,2012
531,Ernakulam Rural,Kerala,162,5,0,10,992,21,59,470,36,270,10678,2012
532,Idukki,Kerala,189,5,2,10,720,22,53,295,13,149,5134,2012
533,Kannur,Kerala,183,7,0,23,1788,32,66,1277,71,207,8400,2012
534,Kasargod,Kerala,156,6,3,17,992,14,89,590,36,123,5174,2012
535,Kollam Commr,Kerala,171,3,4,21,768,21,46,293,62,212,7074,2012
536,Kollam Rural,Kerala,270,2,1,14,992,30,49,469,30,159,5981,2012
537,Kottayam,Kerala,265,2,1,19,1108,20,55,483,26,265,12355,2012
538,Kozhikode Commr.,Kerala,103,2,0,5,646,7,36,353,65,142,4156,2012
539,Kozhikode Rural,Kerala,153,3,0,16,1503,9,42,1102,31,181,5645,2012
540,Malappuram,Kerala,221,4,2,10,1391,16,97,792,33,253,14385,2012
541,Palakkad,Kerala,146,6,5,13,1178,32,68,706,30,208,8611,2012
542,Pathanamthitta,Kerala,137,1,2,17,788,28,32,411,18,161,5327,2012
543,Railways,Kerala,46,0,0,4,248,0,0,5,3,193,348,2012
544,Thrissur,Kerala,111,1,0,13,775,9,35,443,28,164,6231,2012
545,Thrissur Commr.,Kerala,218,6,2,12,1086,18,46,588,40,202,13403,2012
546,Trivandrum commd,Kerala,226,4,0,23,1218,14,41,629,101,285,7253,2012
547,Trivandrum Rural,Kerala,541,8,8,18,1845,42,97,826,48,313,10065,2012
548,Wayanadu,Kerala,79,0,1,12,450,10,36,260,13,52,2890,2012
549,Alapuzha,Kerala,293,3,1,14,1052,19,45,483,39,197,10198,2013
550,Ernakulam Commr.,Kerala,169,5,0,10,866,7,40,333,39,307,13499,2013
551,Ernakulam Rural,Kerala,238,7,2,14,1166,23,67,543,65,279,14462,2013
552,Idukki,Kerala,218,5,0,4,748,21,67,286,17,152,5101,2013
553,Kannur,Kerala,191,5,0,22,1204,19,60,763,62,149,6899,2013
554,Kasargod,Kerala,163,3,2,21,968,18,81,513,30,170,5401,2013
555,Kollam Commr,Kerala,198,3,1,18,758,16,64,311,66,150,7790,2013
556,Kollam Rural,Kerala,273,2,2,12,1099,19,92,515,14,186,7257,2013
557,Kottayam,Kerala,251,0,0,12,1070,25,47,486,35,249,12314,2013
558,Kozhikode Commr.,Kerala,110,4,0,11,694,13,30,336,43,194,3966,2013
559,Kozhikode Rural,Kerala,208,0,0,19,1360,8,64,896,22,165,6132,2013
560,Malappuram,Kerala,272,3,0,11,1621,25,99,947,33,267,17840,2013
561,Palakkad,Kerala,161,2,0,18,1256,25,93,756,43,203,11848,2013
562,Pathanamthitta,Kerala,187,0,1,4,846,25,45,423,37,161,6002,2013
563,Railways,Kerala,33,0,0,1,269,2,0,4,3,229,368,2013
564,Thrissur,Kerala,85,2,1,2,677,19,29,384,21,157,6485,2013
565,Thrissur Commr.,Kerala,258,5,3,13,1042,13,64,512,39,179,17207,2013
566,Trivandrum commd,Kerala,299,3,1,7,1212,12,54,565,73,274,10171,2013
567,Trivandrum Rural,Kerala,641,14,6,32,1947,44,130,748,87,346,10326,2013
568,Wayanadu,Kerala,114,1,1,7,494,19,50,238,16,65,3068,2013
569,Alapuzha,Kerala,245,,0,,,19,61,238,,226,4047,2014
570,Ernakulam Commr.,Kerala,158,,0,,,13,64,57,,331,2581,2014
571,Ernakulam Rural,Kerala,224,,0,,,19,71,321,,363,2262,2014
572,Idukki,Kerala,186,,2,,,20,71,216,,144,2414,2014
573,Kannur,Kerala,222,,1,,,22,59,745,,149,3247,2014
574,Kasargod,Kerala,123,,0,,,16,59,422,,161,1594,2014
575,Kollam Commr.,Kerala,287,,1,,,10,78,301,,143,4654,2014
576,Kollam Rural,Kerala,240,,2,,,28,81,293,,161,2781,2014
577,Kottayam,Kerala,204,,0,,,17,75,186,,235,3820,2014
578,Kozhikode Commr.,Kerala,107,,1,,,8,35,220,,282,3482,2014
579,Kozhikode Rural,Kerala,226,,0,,,9,52,408,,203,4311,2014
580,Malappuram,Kerala,346,,1,,,19,103,682,,310,3347,2014
581,Palakkad,Kerala,182,,7,,,23,88,473,,308,192,2014
582,Pathanamthitta,Kerala,163,,0,,,11,63,89,,228,79947,2014
583,Railways,Kerala,74,,0,,,3,0,7,,299,651,2014
584,Thrissur Commr.,Kerala,109,,0,,,17,38,98,,165,1185,2014
585,Thrissur Rural,Kerala,298,,2,,,24,94,278,,263,761,2014
586,Trivandrum Commr.,Kerala,254,,2,,,13,56,226,,325,4,2014
587,Trivandrum Rural,Kerala,581,,6,,,45,122,416,,338,9,2014
588,Wayanadu,Kerala,134,,0,,,9,75,143,,64,845,2014
589,Crime Branch,Kerala,4,,3,,,22,2,1,,2,2698,2014
590,Alapuzha,Kerala,201,1,0,,,22,48,274,26,222,2450,2015
591,Ernakulam Commr.,Kerala,140,8,0,,,11,51,43,33,323,2891,2015
592,Ernakulam Rural,Kerala,177,3,1,,,21,79,215,18,217,2166,2015
593,Idukki,Kerala,181,1,0,,,17,85,293,8,125,4456,2015
594,Kannur,Kerala,219,4,1,,,21,56,642,56,168,3326,2015
595,Kasargod,Kerala,147,2,0,,,16,57,532,28,252,2423,2015
596,Kollam Commr.,Kerala,172,5,0,,,18,56,217,43,126,2367,2015
597,Kollam Rural,Kerala,218,0,0,,,16,52,262,9,155,3637,2015
598,Kottayam,Kerala,153,0,0,,,21,48,220,17,164,1550,2015
599,Kozhikode Commr.,Kerala,126,0,1,,,8,32,226,56,289,4146,2015
600,Kozhikode Rural,Kerala,238,41,0,,,15,45,320,42,268,3233,2015
601,Malappuram,Kerala,321,5,0,,,15,129,778,76,342,4698,2015
602,Palakkad,Kerala,144,3,1,,,27,72,593,99,361,2845,2015
603,Pathanamthitta,Kerala,178,2,0,,,14,62,114,16,133,4692,2015
604,Railways,Kerala,43,0,0,,,1,1,2,11,228,3446,2015
605,Thrissur Commr.,Kerala,102,2,0,,,6,45,108,32,175,219,2015
606,Thrissur Rural,Kerala,267,3,2,,,19,65,304,37,238,585,2015
607,Trivandrum Commr.,Kerala,207,1,0,,,9,38,159,45,232,1137,2015
608,Trivandrum Rural,Kerala,603,7,1,,,34,129,287,102,318,693,2015
609,Wayanadu,Kerala,144,2,0,,,7,104,240,13,84,16,2015
610,Crime Branch,Kerala,6,2,1,,,16,2,1,0,2,10,2015
611,Alapuzha,Kerala,194,,,,,14,97,209,32,187,12463,2016
612,Ernakulam Commr.,Kerala,162,,,,,10,62,32,42,239,5454,2016
613,Ernakulam Rural,Kerala,207,,,,,25,112,253,52,255,2597,2016
614,Idukki,Kerala,198,,,,,10,87,248,14,182,3358,2016
615,Kannur,Kerala,164,,,,,22,76,545,74,132,2432,2016
616,Kasargod,Kerala,165,,,,,12,73,550,28,431,5543,2016
617,Kollam Commr.,Kerala,180,,,,,16,76,174,42,119,3516,2016
618,Kollam Rural,Kerala,262,,,,,18,79,211,14,104,2292,2016
619,Kottayam,Kerala,212,,,,,22,87,215,44,240,2180,2016
620,Kozhikode Commr.,Kerala,109,,,,,3,52,189,62,176,3862,2016
621,Kozhikode Rural,Kerala,245,,,,,8,61,448,35,212,1439,2016
622,Malappuram,Kerala,275,,,,,25,160,775,67,287,4733,2016
623,Palakkad,Kerala,126,,,,,21,122,389,89,206,2870,2016
624,Pathanamthitta,Kerala,202,,,,,12,82,94,28,146,5999,2016
625,Railways,Kerala,36,,,,,0,0,1,12,155,2677,2016
626,Thrissur Commr.,Kerala,67,,,,,5,46,68,24,114,4699,2016
627,Thrissur Rural,Kerala,258,,,,,24,96,188,41,218,3602,2016
628,Trivandrum Commr.,Kerala,250,,,,,15,66,21,71,241,201,2016
629,Trivandrum Rural,Kerala,540,,,,,28,138,206,116,208,592,2016
630,Wayanadu,Kerala,177,,,,,10,82,264,21,82,1049,2016
631,Crime Branch,Kerala,0,,,,,5,2,9,0,2,628,2016
632,Alapuzha,Kerala,,,0,20,,19,95,,29,157,1639,2017
633,Ernakulam Commr.,Kerala,,,0,19,,11,85,,31,311,13688,2017
634,Ernakulam Rural,Kerala,,,0,23,,17,115,,39,254,4258,2017
635,Idukki,Kerala,,,1,16,,20,92,,12,160,3600,2017
636,Kannur,Kerala,,,1,8,,20,74,,48,91,4264,2017
637,Kasargod,Kerala,,,0,12,,11,85,,37,431,2586,2017
638,Kollam Commr.,Kerala,,,1,11,,10,95,,35,126,5427,2017
639,Kollam Rural,Kerala,,,1,11,,22,120,,13,131,3080,2017
640,Kottayam,Kerala,,,0,19,,10,104,,41,147,2376,2017
641,Kozhikode Commr.,Kerala,,,0,13,,7,54,,59,219,2491,2017
642,Kozhikode Rural,Kerala,,,0,19,,5,92,,18,165,3771,2017
643,Malappuram,Kerala,,,4,23,,18,165,,82,191,1934,2017
644,Palakkad,Kerala,,,0,25,,27,209,,93,199,5734,2017
645,Pathanamthitta,Kerala,,,0,6,,30,83,,24,112,2947,2017
646,Railways,Kerala,,,0,1,,0,0,,32,175,5510,2017
647,Thrissur Commr.,Kerala,,,0,8,,11,59,,33,185,2870,2017
648,Thrissur Rural,Kerala,,,0,12,,23,120,,46,175,5256,2017
649,Trivandrum Commr.,Kerala,,,0,18,,13,77,,63,263,4463,2017
650,Trivandrum Rural,Kerala,,,4,17,,27,206,,65,282,331,2017
651,Wayanadu,Kerala,,,0,11,,4,68,,7,65,1228,2017
652,Crime Branch,Kerala,,,0,1,,0,5,,0,5,1582,2017
653,Alapuzha,Kerala,261,,0,25,,12,113,,,207,17255,2018
654,Ernakulam Commr.,Kerala,256,,1,11,,12,88,,,301,20388,2018
655,Ernakulam Rural,Kerala,312,,0,20,,16,125,,,279,16896,2018
656,Idukki,Kerala,231,,0,12,,18,63,,,166,6348,2018
657,Kannur,Kerala,183,,0,12,,18,104,,,139,5836,2018
658,Kasargod,Kerala,176,,0,10,,11,71,,,164,3775,2018
659,Kollam Commr.,Kerala,224,,4,16,,16,80,,,118,7181,2018
660,Kollam Rural,Kerala,303,,0,17,,26,94,,,107,14017,2018
661,Kottayam,Kerala,218,,0,13,,15,137,,,180,8799,2018
662,Kozhikode Commr.,Kerala,137,,0,19,,8,40,,,214,3964,2018
663,Kozhikode Rural,Kerala,251,,2,23,,11,91,,,112,4929,2018
664,Malappuram,Kerala,409,,2,24,,18,189,,,232,7143,2018
665,Palakkad,Kerala,177,,1,24,,19,146,,,232,16462,2018
666,Pathanamthitta,Kerala,186,,0,7,,16,92,,,91,8202,2018
667,Railways,Kerala,37,,0,1,,0,0,,,159,280,2018
668,Thrissur Commr.,Kerala,142,,1,7,,11,115,,,213,6490,2018
669,Thrissur Rural,Kerala,181,,0,7,,15,66,,,124,5269,2018
670,Trivandrum Commr.,Kerala,186,,1,17,,15,80,,,252,13008,2018
671,Trivandrum Rural,Kerala,529,,2,21,,21,156,,,293,17844,2018
672,Wayanadu,Kerala,138,,2,11,,12,86,,,63,2487,2018
673,Crime Branch,Kerala,7,,1,0,,2,9,,,5,385,2018
674,PONDICHERRY,Puducherry,35,1,1,4,702,25,9,100,4,528,4068,2001
675,PONDICHERRY,Puducherry,59,2,5,10,828,29,6,193,6,526,4437,2002
676,PONDICHERRY,Puducherry,56,2,1,18,832,29,2,159,11,567,4517,2003
677,PONDICHERRY,Puducherry,50,0,6,10,876,25,4,147,1,634,4620,2004
678,PONDICHERRY,Puducherry,60,1,4,6,720,19,6,159,5,466,4575,2005
679,KARAIKAL,Puducherry,7,0,1,5,151,2,1,41,1,94,772,2006
680,PONDICHERRY,Puducherry,49,2,2,13,719,28,8,153,2,466,3915,2006
681,KARAIKAL,Puducherry,33,0,0,5,161,4,3,29,0,87,766,2007
682,PONDICHERRY,Puducherry,56,1,2,15,925,30,6,116,8,700,4288,2007
683,KARAIKAL,Puducherry,25,0,0,2,140,5,1,36,0,71,727,2008
684,PUDUCHERRY,Puducherry,40,10,2,15,840,30,7,129,10,617,4262,2008
685,KARAIKAL,Puducherry,16,0,0,1,99,6,0,25,0,51,724,2009
686,PUDUCHERRY,Puducherry,37,7,0,17,862,31,1,116,9,660,3867,2009
687,KARAIKAL,Puducherry,15,0,0,2,100,4,1,31,0,47,762,2010
688,Karaikal,Puducherry,,,1,3,,3,2,,5,59,3746,2017
689,Puducherry,Puducherry,,,1,12,,22,5,,13,593,4640,2017
690,Karaikal,Puducherry,0,,0,0,,0,0,,,0,0,2018
691,Puducherry,Puducherry,60,,0,34,,29,0,,,622,3606,2018
692,CAW,Delhi,0,0,0,0,0,0,0,0,0,0,187,2010
693,CENTRAL,Delhi,25,0,2,126,1553,25,20,5,35,1350,2828,2010
694,CRIME BRANCH,Delhi,0,0,0,1,9,0,0,0,0,8,61,2010
695,DELHI UT TOTAL,Delhi,601,32,143,3208,28165,565,507,53,599,23088,51292,2010
696,EAST,Delhi,83,7,12,357,4013,57,47,14,81,3443,6723,2010
697,EOW,Delhi,0,0,0,0,0,0,0,0,0,0,150,2010
698,GRP(RLY),Delhi,3,2,0,23,688,12,2,1,9,647,816,2010
699,IGI AIRPORT,Delhi,7,0,0,13,105,0,0,0,0,85,703,2010
700,NEW DELHI,Delhi,20,1,0,29,653,6,16,3,19,579,1452,2010
701,NORTH,Delhi,23,0,8,161,1396,30,7,1,24,1166,2889,2010
702,NORTH-EAST,Delhi,68,5,24,458,3219,68,51,6,57,2544,5062,2010
703,NORTH-WEST,Delhi,62,8,11,260,2856,60,50,2,178,2411,5016,2010
704,OUTER,Delhi,64,4,21,457,2821,98,49,3,39,2129,5495,2010
705,SOUTH,Delhi,66,4,9,240,2863,35,59,0,47,2454,5308,2010
706,SOUTH-EAST,Delhi,92,0,13,369,2957,48,80,10,32,2345,5606,2010
707,SOUTH-WEST,Delhi,28,1,24,363,1878,63,54,7,30,1339,3503,2010
708,STF,Delhi,0,0,0,1,1,0,0,0,0,0,18,2010
709,WEST,Delhi,60,0,19,350,3153,63,72,1,48,2588,5475,2010
710,CAW,Delhi,1,0,0,0,2,0,1,0,0,0,130,2011
711,CENTRAL,Delhi,32,0,3,154,1540,25,16,2,26,1308,2451,2011
712,CRIME BRANCH,Delhi,0,0,0,0,5,1,1,0,0,3,121,2011
713,DELHI UT TOTAL,Delhi,657,33,142,3767,28630,543,572,50,562,22899,53353,2011
714,EAST,Delhi,78,7,14,393,4094,54,55,10,67,3490,7004,2011
715,EOW,Delhi,0,0,0,0,0,0,0,0,0,0,149,2011
716,GRP(RLY),Delhi,7,3,1,25,793,10,4,0,21,746,972,2011
717,IGI AIRPORT,Delhi,8,0,0,3,80,1,0,1,0,67,565,2011
718,NEW DELHI,Delhi,17,1,1,33,480,6,2,3,12,418,1181,2011
719,NORTH,Delhi,15,1,4,177,1422,38,11,1,38,1176,2841,2011
720,NORTH-EAST,Delhi,88,5,21,530,3479,66,69,3,55,2702,5734,2011
721,NORTH-WEST,Delhi,48,4,10,331,2767,51,58,1,89,2268,4889,2011
722,OUTER,Delhi,65,4,34,577,3057,84,73,4,74,2220,6118,2011
723,SOUTH,Delhi,50,1,11,222,2634,30,65,4,31,2252,5141,2011
724,SOUTH-EAST,Delhi,127,4,19,478,3203,61,75,6,54,2437,6377,2011
725,SOUTH-WEST,Delhi,56,0,11,391,1822,51,69,10,52,1234,3783,2011
726,STF,Delhi,0,0,0,0,1,1,0,0,0,0,14,2011
727,WEST,Delhi,65,3,13,453,3251,64,73,5,43,2578,5883,2011
728,CAW,Delhi,0,0,0,0,0,0,0,0,0,0,178,2012
729,CENTRAL,Delhi,47,2,4,180,1706,35,31,6,47,1403,2973,2012
730,CRIME BRANCH,Delhi,0,0,0,3,6,1,1,0,0,1,90,2012
731,DELHI UT TOTAL,Delhi,727,28,134,3970,28169,521,706,79,608,22032,54287,2012
732,EAST,Delhi,96,4,7,503,4016,48,90,14,57,3258,7423,2012
733,EOW,Delhi,0,0,0,0,0,0,0,0,0,0,124,2012
734,GRP(RLY),Delhi,12,0,1,27,691,13,4,4,12,630,837,2012
735,IGI AIRPORT,Delhi,6,0,0,1,76,1,0,0,1,68,382,2012
736,NEW DELHI,Delhi,29,0,0,28,457,9,5,12,9,374,1057,2012
737,NORTH,Delhi,29,0,6,153,1257,25,14,5,45,1025,2700,2012
738,NORTH-EAST,Delhi,69,4,25,510,3352,49,78,5,58,2616,5903,2012
739,NORTH-WEST,Delhi,19,6,12,357,2413,60,64,0,65,1901,4542,2012
740,OUTER,Delhi,79,6,15,572,3051,96,67,7,91,2215,6344,2012
741,SOUTH,Delhi,59,2,17,245,2559,39,70,3,52,2126,5045,2012
742,SOUTH-EAST,Delhi,160,2,11,538,3775,46,116,12,72,2892,7040,2012
743,SOUTH-WEST,Delhi,69,0,18,399,1797,47,87,6,47,1171,4085,2012
744,STF,Delhi,0,0,0,0,0,0,0,0,0,0,6,2012
745,WEST,Delhi,53,2,18,454,3013,52,79,5,52,2352,5558,2012
746,CAW,Delhi,1,0,0,0,1,0,0,0,0,0,203,2013
747,CENTRAL,Delhi,174,1,2,220,2419,20,71,4,55,1928,4562,2013
748,CRIME BRANCH,Delhi,0,0,0,1,8,2,4,0,0,1,80,2013
749,EAST,Delhi,364,5,11,737,5632,51,210,7,134,4252,10388,2013
750,EOW,Delhi,0,0,0,0,0,0,0,0,0,0,163,2013
751,GRP(RLY),Delhi,11,0,0,19,602,13,4,2,20,553,760,2013
752,IGI AIRPORT,Delhi,9,0,0,1,89,0,0,0,2,79,351,2013
753,METRO RAIL,Delhi,16,0,1,8,903,1,0,2,2,875,962,2013
754,NEW DELHI,Delhi,66,0,1,74,659,7,19,19,14,473,1458,2013
755,NORTH,Delhi,164,2,9,266,2075,29,53,12,87,1542,4081,2013
756,NORTH-EAST,Delhi,333,5,27,923,5250,69,183,12,223,3703,9041,2013
757,NORTH-WEST,Delhi,301,10,17,597,3661,47,143,8,194,2548,6564,2013
758,OUTER,Delhi,332,6,14,923,4922,88,178,4,134,3383,9579,2013
759,SOUTH,Delhi,539,0,10,539,4698,23,163,4,68,3420,8593,2013
760,SOUTH-EAST,Delhi,386,2,16,719,4576,60,230,10,132,3155,8608,2013
761,SOUTH-WEST,Delhi,419,1,14,556,2321,52,194,9,116,1077,5963,2013
762,STF,Delhi,0,0,0,0,0,0,0,0,0,0,15,2013
763,WEST,Delhi,400,1,22,711,4527,55,184,20,64,3135,8813,2013
764,CENTRAL,Delhi,212,,7,,,30,91,6,,4124,4407,2014
765,CRIME BRANCH,Delhi,1,,0,,,0,1,0,,0,3792,2014
766,EAST,Delhi,446,,15,,,61,230,24,,9437,106830,2014
767,EOW,Delhi,2,,0,,,0,0,0,,0,363,2014
768,I.G.I. AIRPORT,Delhi,12,,0,,,1,0,0,,157,825,2014
769,METRO,Delhi,28,,0,,,0,1,1,,2198,9,2014
770,NEW DELHI,Delhi,56,,2,,,6,20,22,,1252,338,2014
771,NORTH,Delhi,180,,6,,,31,60,14,,4309,510,2014
772,NORTH EAST,Delhi,492,,27,,,84,237,25,,8185,725,2014
773,NORTH WEST,Delhi,404,,14,,,48,165,8,,7341,678,2014
774,OUTER,Delhi,428,,22,,,87,259,13,,10031,401,2014
775,RAILWAY,Delhi,19,,0,,,10,1,3,,1455,1650,2014
776,SOUTH,Delhi,595,,6,,,40,280,16,,8670,5499,2014
777,SOUTH WEST,Delhi,469,,24,,,67,266,20,,7557,9518,2014
778,SOUTH-WEST,Delhi,494,,17,,,66,234,5,,4632,8793,2014
779,spl CELL,Delhi,0,,0,,,0,0,0,,1,9909,2014
780,SPUWAC,Delhi,0,,0,,,0,0,0,,0,1323,2014
781,VIGILANCE,Delhi,0,,0,,,0,0,0,,0,1522,2014
782,WEST,Delhi,484,,13,,,55,251,3,,9404,2826,2014
783,CENTRAL,Delhi,256,4,4,,,36,85,9,382,5815,1717,2015
