DISTRICT,Sheet,STATE-todel,ASSAULT ON WOMEN,DACOITY,DOWRY DEATHS,KIDNAPPING AND ABDUCTION,MAJOR_CRIMES_TOTAL,MURDER,RAPE,RIOTS,ROBBERY,THEFT,total_crime,YEAR
G.R.P.(RLY),2001-2012,Delhi,2,1,2,5,1091,6,5,0,6,1071,1235,2004
I.G.I. AIRPORT,2001-2012,Delhi,7,0,0,5,104,1,1,2,6,88,683,2004
NEW DELHI,2001-2012,Delhi,34,0,1,20,1237,6,8,2,9,1166,2651,2004
NORTH,2001-2012,Delhi,21,5,6,85,1321,25,23,6,30,1155,3418,2004
NORTH EAST,2001-2012,Delhi,46,4,18,157,1379,54,67,4,65,1033,3896,2004
NORTH WEST,2001-2012,Delhi,129,4,29,285,3301,129,124,11,120,2594,9840,2004
S.T.F.,2001-2012,Delhi,1,0,0,0,5,1,1,0,0,2,90,2004
SOUTH,2001-2012,Delhi,130,5,21,216,4553,80,96,10,54,4000,9672,2004
SOUTH WEST,2001-2012,Delhi,59,3,11,97,2077,44,79,13,51,1774,5932,2004
WEST,2001-2012,Delhi,46,1,24,110,2822,67,58,5,50,2512,7343,2004
CENTRAL,2001-2012,Delhi,40,1,4,52,1332,23,20,1,20,1192,3529,2005
DELHI UT TOTAL,2001-2012,Delhi,762,27,114,1590,21595,455,658,61,510,17955,56065,2005
EAST,2001-2012,Delhi,105,1,12,153,2398,31,59,8,58,2030,5453,2005
G.R.P.(RLY),2001-2012,Delhi,5,0,1,4,1082,16,2,1,6,1053,1201,2005
IGI AIRPORT,2001-2012,Delhi,1,0,0,4,87,1,1,0,2,80,816,2005
NEW DELHI,2001-2012,Delhi,26,0,2,19,875,10,6,9,13,803,2295,2005
NORTH,2001-2012,Delhi,45,3,2,78,1076,24,22,5,34,900,3306,2005
NORTH-EAST,2001-2012,Delhi,79,4,29,212,1749,51,106,6,60,1266,4849,2005
NORTH-WEST,2001-2012,Delhi,138,9,23,572,3669,128,190,13,124,2605,11019,2005
SOUTH,2001-2012,Delhi,151,4,19,231,4667,67,87,8,93,4104,10529,2005
SOUTH-WEST,2001-2012,Delhi,86,2,12,114,1890,47,71,9,51,1551,5762,2005
SPL CELL,2001-2012,Delhi,0,0,0,0,1,0,0,0,0,1,89,2005
WEST,2001-2012,Delhi,86,3,10,151,2769,57,94,1,49,2370,7217,2005
CENTRAL,2001-2012,Delhi,21,0,3,73,1177,22,17,5,22,1036,3706,2006
DELHI UT TOTAL,2001-2012,Delhi,718,14,137,1442,20981,476,623,87,541,17498,57963,2006
EAST,2001-2012,Delhi,86,3,9,118,2423,39,61,14,66,2096,5573,2006
GRP(RLY),2001-2012,Delhi,0,0,1,11,963,5,1,0,3,945,1076,2006
IGI AIRPORT,2001-2012,Delhi,2,0,0,8,172,2,0,0,8,160,924,2006
NEW DELHI,2001-2012,Delhi,31,0,0,26,839,7,6,15,20,754,2288,2006
NORTH,2001-2012,Delhi,27,0,8,41,831,28,22,4,29,701,3016,2006
NORTH-EAST,2001-2012,Delhi,92,3,28,197,1728,61,93,11,82,1246,5389,2006
NORTH-WEST,2001-2012,Delhi,137,4,28,437,3601,128,169,12,105,2690,11146,2006
SOUTH,2001-2012,Delhi,141,2,19,215,4360,66,87,12,117,3820,10854,2006
SOUTH-WEST,2001-2012,Delhi,84,0,24,161,2148,52,79,9,48,1739,6584,2006
STF,2001-2012,Delhi,0,0,0,0,1,0,0,0,2,1,39,2006
WEST,2001-2012,Delhi,97,2,17,155,2738,66,88,5,39,2310,7368,2006
CENTRAL,2001-2012,Delhi,38,1,6,70,1236,27,22,4,28,1069,3248,2007
DELHI UT TOTAL,2001-2012,Delhi,868,34,138,1688,20911,495,598,87,557,17037,56065,2007
EAST,2001-2012,Delhi,112,7,16,145,2636,34,73,17,102,2239,6016,2007
GRP(RLY),2001-2012,Delhi,4,0,0,12,818,3,4,0,2,795,926,2007
IGI AIRPORT,2001-2012,Delhi,8,0,0,3,157,1,0,1,6,144,662,2007
NEW DELHI,2001-2012,Delhi,23,1,0,12,751,4,7,7,23,698,2195,2007
NORTH,2001-2012,Delhi,43,5,6,64,922,22,33,7,33,747,3352,2007
NORTH-EAST,2001-2012,Delhi,120,2,17,241,1822,66,89,2,55,1287,5121,2007
NORTH-WEST,2001-2012,Delhi,64,4,7,208,2234,57,51,6,63,1841,5189,2007
OUTER,2001-2012,Delhi,100,4,29,360,1940,102,121,12,85,1216,5690,2007
SOUTH,2001-2012,Delhi,169,2,22,256,3796,68,83,19,75,3179,10414,2007
SOUTH-WEST,2001-2012,Delhi,85,7,19,148,2165,51,51,9,47,1802,6821,2007
STF,2001-2012,Delhi,0,1,0,0,0,0,0,0,0,0,40,2007
WEST,2001-2012,Delhi,102,0,16,169,2434,60,64,3,38,2020,6391,2007
CAW,2001-2012,Delhi,1,0,0,0,1,0,0,0,0,0,107,2008
CENTRAL,2001-2012,Delhi,38,0,6,84,1586,34,30,2,33,1392,3100,2008
CRIME BRANCH,2001-2012,Delhi,0,0,0,0,2,1,0,0,0,1,30,2008
DELHI UT TOTAL,2001-2012,Delhi,611,24,129,1567,22265,554,466,71,541,18867,49350,2008
EAST,2001-2012,Delhi,93,5,21,191,2911,49,73,13,74,2471,5540,2008
EOW,2001-2012,Delhi,0,0,0,0,0,0,0,0,0,0,170,2008
GRP(RLY),2001-2012,Delhi,1,1,1,6,835,6,0,0,2,821,951,2008
IGI AIRPORT,2001-2012,Delhi,2,0,0,1,85,1,0,1,3,80,530,2008
NEW DELHI,2001-2012,Delhi,18,0,1,19,757,9,3,11,14,696,1859,2008
NORTH,2001-2012,Delhi,35,2,4,80,1100,25,20,4,56,932,3113,2008
NORTH-EAST,2001-2012,Delhi,77,0,17,210,1953,92,32,7,47,1518,4514,2008
NORTH-WEST,2001-2012,Delhi,48,3,12,137,2072,54,59,2,85,1760,4204,2008
OUTER,2001-2012,Delhi,48,7,21,355,2434,77,59,3,43,1871,5237,2008
SOUTH,2001-2012,Delhi,52,1,8,70,2170,37,37,8,42,1958,4821,2008
SOUTH-EAST,2001-2012,Delhi,82,1,15,182,2577,66,61,9,66,2162,5904,2008
SOUTH-WEST,2001-2012,Delhi,39,2,9,87,1350,57,38,7,37,1113,3945,2008
STF,2001-2012,Delhi,0,0,0,0,0,0,0,0,0,0,39,2008
WEST,2001-2012,Delhi,77,2,14,145,2432,46,54,4,39,2092,5286,2008
CAW,2001-2012,Delhi,1,0,0,0,1,0,0,0,0,0,194,2009
CENTRAL,2001-2012,Delhi,34,0,6,93,1568,28,28,4,33,1375,2833,2009
CRIME BRANCH,2001-2012,Delhi,0,0,0,0,7,1,2,0,1,4,91,2009
DELHI UT TOTAL,2001-2012,Delhi,552,36,141,2536,26038,552,469,57,515,21731,50251,2009
EAST,2001-2012,Delhi,81,9,10,299,3522,56,52,9,52,3015,6379,2009
EOW,2001-2012,Delhi,1,0,0,0,1,0,0,0,0,0,190,2009
GRP(RLY),2001-2012,Delhi,0,2,1,11,750,9,4,0,10,725,864,2009
IGI AIRPORT,2001-2012,Delhi,2,1,0,2,71,1,0,0,1,66,569,2009
NEW DELHI,2001-2012,Delhi,17,2,1,46,659,5,6,3,14,581,1492,2009
NORTH,2001-2012,Delhi,35,1,8,140,1357,44,19,4,24,1107,2908,2009
NORTH-EAST,2001-2012,Delhi,67,5,15,375,2671,74,47,7,53,2086,4720,2009
NORTH-WEST,2001-2012,Delhi,39,6,13,218,2545,56,54,6,118,2159,4676,2009
OUTER,2001-2012,Delhi,61,3,21,332,2509,74,41,6,21,1974,4969,2009
SOUTH,2001-2012,Delhi,45,0,10,133,2785,42,42,7,36,2506,5353,2009
SOUTH-EAST,2001-2012,Delhi,78,1,18,318,3165,48,59,3,62,2641,6267,2009
SOUTH-WEST,2001-2012,Delhi,53,4,17,241,1774,65,52,5,44,1341,3610,2009
STF,2001-2012,Delhi,0,0,0,0,0,0,0,0,0,0,25,2009
WEST,2001-2012,Delhi,38,2,21,328,2653,49,63,3,46,2151,5111,2009
CENTRAL,2017,Delhi,,,2,283,,9,76,,165,7362,2114,2017
CRIME BRANCH,2017,Delhi,,,0,2,,1,2,,0,2,2336,2017
EAST,2017,Delhi,,,4,339,,28,106,,220,14186,2437,2017
EOW,2017,Delhi,,,0,0,,0,0,,0,0,2687,2017
I.G.I. AIRPORT,2017,Delhi,,,0,1,,1,1,,0,263,4560,2017
METRO,2017,Delhi,,,0,13,,0,0,,2,12786,4390,2017
NEW DELHI,2017,Delhi,,,1,64,,4,10,,33,2599,2204,2017
NORTH,2017,Delhi,,,2,256,,35,35,,109,7713,3395,2017
NORTH EAST,2017,Delhi,,,24,718,,49,99,,473,11552,3469,2017
NORTH WEST,2017,Delhi,,,7,580,,48,116,,348,15913,983,2017
OUTER,2017,Delhi,,,19,726,,53,115,,216,10688,1728,2017
RAILWAY,2017,Delhi,,,0,27,,7,2,,10,4149,3421,2017
SOUTH,2017,Delhi,,,9,448,,35,123,,255,15838,5671,2017
SOUTH WEST,2017,Delhi,,,7,537,,41,102,,188,14585,2179,2017
SOUTH-WEST,2017,Delhi,,,8,271,,11,86,,92,6864,3756,2017
spl CELL,2017,Delhi,,,0,0,,0,0,,0,0,6313,2017
SPUWAC,2017,Delhi,,,0,0,,0,0,,0,0,1868,2017
VIGILANCE,2017,Delhi,,,0,0,,0,0,,0,0,1193,2017
WEST,2017,Delhi,,,5,311,,23,79,,295,13790,2493,2017
ROHINI,2017,Delhi,,,18,664,,74,120,,334,14620,3809,2017
SHAHDARA,2017,Delhi,,,5,285,,18,62,,258,11565,3796,2017
DWARKA,2017,Delhi,,,9,570,,50,95,,149,9521,3807,2017
CENTRAL,2018,Delhi,171,,9,237,,21,67,,,8047,11426,2018
CRIME BRANCH,2018,Delhi,1,,0,3,,3,2,,,5,117,2018
EAST,2018,Delhi,173,,4,387,,26,110,,,14514,17608,2018
EOW,2018,Delhi,0,,0,0,,0,0,,,0,266,2018
I.G.I. AIRPORT,2018,Delhi,14,,0,0,,1,0,,,242,643,2018
METRO,2018,Delhi,18,,0,2,,1,0,,,5510,5610,2018
NEW DELHI,2018,Delhi,51,,0,61,,7,13,,,2162,3026,2018
NORTH,2018,Delhi,138,,3,254,,23,52,,,12269,14972,2018
NORTH EAST,2018,Delhi,180,,18,629,,39,81,,,13794,18114,2018
NORTH WEST,2018,Delhi,191,,14,581,,59,138,,,20677,25960,2018
OUTER,2018,Delhi,274,,24,781,,54,108,,,12935,18194,2018
RAILWAY,2018,Delhi,9,,0,24,,4,1,,,3298,3404,2018
SOUTH,2018,Delhi,212,,15,467,,39,95,,,18968,23484,2018
SOUTH WEST,2018,Delhi,244,,16,495,,48,105,,,18362,22645,2018
SOUTH-WEST,2018,Delhi,199,,7,425,,17,95,,,8971,12170,2018
spl CELL,2018,Delhi,3,,0,1,,0,1,,,0,56,2018
SPUWAC,2018,Delhi,0,,0,0,,0,0,,,0,87,2018
VIGILANCE,2018,Delhi,0,,0,0,,0,0,,,0,0,2018
WEST,2018,Delhi,216,,7,318,,32,92,,,13967,18253,2018
ROHINI,2018,Delhi,214,,10,595,,69,93,,,16863,21282,2018
SHAHDARA,2018,Delhi,152,,8,273,,24,59,,,12251,14683,2018
DWARKA,2018,Delhi,245,,18,530,,46,103,,,12853,17012,2018
Alapuzha,2001-2012,Kerala,176,6,0,21,994,27,40,443,43,287,7842,2010
Ernakulam Commr.,2001-2012,Kerala,67,2,2,8,578,4,20,244,34,233,25735,2010
Ernakulam Rural,2001-2012,Kerala,146,3,1,14,852,25,42,323,56,301,12225,2010
Idukki,2001-2012,Kerala,177,1,0,7,684,15,33,307,11,145,8620,2010
Kannur,2001-2012,Kerala,131,12,0,11,1282,26,23,935,61,156,5850,2010
Kasargod,2001-2012,Kerala,93,1,1,9,670,8,23,428,22,108,3238,2010
Kollam,2001-2012,Kerala,364,6,4,36,1793,40,55,894,37,400,11879,2010
Kottayam,2001-2012,Kerala,236,2,0,11,979,17,46,423,32,246,8151,2010
Kozhikode Commr.,2001-2012,Kerala,70,2,1,11,733,7,16,265,73,363,3938,2010
Kozhikode Rural,2001-2012,Kerala,146,9,1,17,1172,16,35,838,16,119,7358,2010
Malappuram,2001-2012,Kerala,156,8,0,21,1251,14,49,705,41,306,9196,2010
Palakkad,2001-2012,Kerala,96,2,4,11,911,42,49,523,13,186,10449,2010
Pathanamthitta,2001-2012,Kerala,132,1,2,11,701,19,29,328,24,180,4971,2010
Railways,2001-2012,Kerala,12,0,0,1,243,1,0,6,9,223,333,2010
Thrissur,2001-2012,Kerala,205,6,1,16,1388,30,49,791,43,296,11420,2010
Thrissur Commr.,2001-2012,Kerala,194,4,3,22,1162,15,27,477,76,424,5652,2010
Trivandrum Rural,2001-2012,Kerala,476,8,1,31,1570,42,68,610,42,342,8696,2010
Wayanadu,2001-2012,Kerala,59,1,1,3,357,15,30,184,3,65,2760,2010
Alapuzha,2001-2012,Kerala,245,1,1,15,1083,25,56,473,35,268,9927,2011
Ernakulam Commr.,2001-2012,Kerala,149,6,1,11,1038,26,62,502,31,287,13192,2011
Ernakulam Rural,2001-2012,Kerala,105,6,0,12,812,15,30,343,38,307,34638,2011
Idukki,2001-2012,Kerala,169,3,0,10,710,20,54,296,23,161,6196,2011
Kannur,2001-2012,Kerala,161,6,0,14,1572,20,55,1065,94,257,7989,2011
Kasargod,2001-2012,Kerala,136,5,0,15,1027,19,125,607,35,125,3942,2011
Kollam Commr,2001-2012,Kerala,192,4,1,21,1108,14,51,602,16,227,6357,2011
Kollam Rural,2001-2012,Kerala,255,1,0,13,973,29,46,460,24,170,6536,2011
Kottayam,2001-2012,Kerala,258,3,2,24,1123,22,51,485,30,281,8448,2011
Kozhikode Commr.,2001-2012,Kerala,124,0,0,11,841,5,14,446,48,241,3996,2011
Kozhikode Rural,2001-2012,Kerala,179,2,1,21,1413,12,46,997,27,157,7409,2011
Malappuram,2001-2012,Kerala,232,8,0,24,1554,13,83,822,59,380,13026,2011
Palakkad,2001-2012,Kerala,156,5,2,13,1217,41,85,684,36,236,7721,2011
Pathanamthitta,2001-2012,Kerala,157,0,0,17,827,20,33,418,20,182,5532,2011
Railways,2001-2012,Kerala,25,0,0,0,282,1,0,6,2,250,362,2011
Thrissur,2001-2012,Kerala,100,7,0,12,654,8,28,362,28,144,4891,2011
Thrissur Commr.,2001-2012,Kerala,263,3,1,12,1217,24,69,597,34,251,11486,2011
Trivandrum commd,2001-2012,Kerala,241,2,0,25,1246,8,39,526,79,407,6591,2011
Trivandrum Rural,2001-2012,Kerala,547,8,4,21,1892,32,140,858,69,290,9642,2011
Wayanadu,2001-2012,Kerala,62,1,2,8,436,11,65,205,13,83,4256,2011
Alapuzha,2001-2012,Kerala,250,2,1,18,1117,20,44,553,16,231,8555,2012
Ernakulam Commr.,2001-2012,Kerala,108,5,0,6,852,9,28,393,25,308,17324,2012
Ernakulam Rural,2001-2012,Kerala,162,5,0,10,992,21,59,470,36,270,10678,2012
Idukki,2001-2012,Kerala,189,5,2,10,720,22,53,295,13,149,5134,2012
Kannur,2001-2012,Kerala,183,7,0,23,1788,32,66,1277,71,207,8400,2012
Kasargod,2001-2012,Kerala,156,6,3,17,992,14,89,590,36,123,5174,2012
Kollam Commr,2001-2012,Kerala,171,3,4,21,768,21,46,293,62,212,7074,2012
Kollam Rural,2001-2012,Kerala,270,2,1,14,992,30,49,469,30,159,5981,2012
Kottayam,2001-2012,Kerala,265,2,1,19,1108,20,55,483,26,265,12355,2012
Kozhikode Commr.,2001-2012,Kerala,103,2,0,5,646,7,36,353,65,142,4156,2012
Kozhikode Rural,2001-2012,Kerala,153,3,0,16,1503,9,42,1102,31,181,5645,2012
Malappuram,2001-2012,Kerala,221,4,2,10,1391,16,97,792,33,253,14385,2012
Palakkad,2001-2012,Kerala,146,6,5,13,1178,32,68,706,30,208,8611,2012
Pathanamthitta,2001-2012,Kerala,137,1,2,17,788,28,32,411,18,161,5327,2012
Railways,2001-2012,Kerala,46,0,0,4,248,0,0,5,3,193,348,2012
Thrissur,2001-2012,Kerala,111,1,0,13,775,9,35,443,28,164,6231,2012
Thrissur Commr.,2001-2012,Kerala,218,6,2,12,1086,18,46,588,40,202,13403,2012
Trivandrum commd,2001-2012,Kerala,226,4,0,23,1218,14,41,629,101,285,7253,2012
Trivandrum Rural,2001-2012,Kerala,541,8,8,18,1845,42,97,826,48,313,10065,2012
Wayanadu,2001-2012,Kerala,79,0,1,12,450,10,36,260,13,52,2890,2012
Alapuzha,2013,Kerala,293,3,1,14,1052,19,45,483,39,197,10198,2013
Ernakulam Commr.,2013,Kerala,169,5,0,10,866,7,40,333,39,307,13499,2013
Ernakulam Rural,2013,Kerala,238,7,2,14,1166,23,67,543,65,279,14462,2013
Idukki,2013,Kerala,218,5,0,4,748,21,67,286,17,152,5101,2013
Kannur,2013,Kerala,191,5,0,22,1204,19,60,763,62,149,6899,2013
Kasargod,2013,Kerala,163,3,2,21,968,18,81,513,30,170,5401,2013
Kollam Commr,2013,Kerala,198,3,1,18,758,16,64,311,66,150,7790,2013
Kollam Rural,2013,Kerala,273,2,2,12,1099,19,92,515,14,186,7257,2013
Kottayam,2013,Kerala,251,0,0,12,1070,25,47,486,35,249,12314,2013
Kozhikode Commr.,2013,Kerala,110,4,0,11,694,13,30,336,43,194,3966,2013
Kozhikode Rural,2013,Kerala,208,0,0,19,1360,8,64,896,22,165,6132,2013
Malappuram,2013,Kerala,272,3,0,11,1621,25,99,947,33,267,17840,2013
Palakkad,2013,Kerala,161,2,0,18,1256,25,93,756,43,203,11848,2013
Pathanamthitta,2013,Kerala,187,0,1,4,846,25,45,423,37,161,6002,2013
Railways,2013,Kerala,33,0,0,1,269,2,0,4,3,229,368,2013
Thrissur,2013,Kerala,85,2,1,2,677,19,29,384,21,157,6485,2013
Thrissur Commr.,2013,Kerala,258,5,3,13,1042,13,64,512,39,179,17207,2013
Trivandrum commd,2013,Kerala,299,3,1,7,1212,12,54,565,73,274,10171,2013
Trivandrum Rural,2013,Kerala,641,14,6,32,1947,44,130,748,87,346,10326,2013
Wayanadu,2013,Kerala,114,1,1,7,494,19,50,238,16,65,3068,2013
Alapuzha,2014,Kerala,245,,0,,,19,61,238,,226,4047,2014
Ernakulam Commr.,2014,Kerala,158,,0,,,13,64,57,,331,2581,2014
Ernakulam Rural,2014,Kerala,224,,0,,,19,71,321,,363,2262,2014
Idukki,2014,Kerala,186,,2,,,20,71,216,,144,2414,2014
Kannur,2014,Kerala,222,,1,,,22,59,745,,149,3247,2014
Kasargod,2014,Kerala,123,,0,,,16,59,422,,161,1594,2014
Kollam Commr.,2014,Kerala,287,,1,,,10,78,301,,143,4654,2014
Kollam Rural,2014,Kerala,240,,2,,,28,81,293,,161,2781,2014
Kottayam,2014,Kerala,204,,0,,,17,75,186,,235,3820,2014
Kozhikode Commr.,2014,Kerala,107,,1,,,8,35,220,,282,3482,2014
Kozhikode Rural,2014,Kerala,226,,0,,,9,52,408,,203,4311,2014
Malappuram,2014,Kerala,346,,1,,,19,103,682,,310,3347,2014
Palakkad,2014,Kerala,182,,7,,,23,88,473,,308,192,2014
Pathanamthitta,2014,Kerala,163,,0,,,11,63,89,,228,79947,2014
Railways,2014,Kerala,74,,0,,,3,0,7,,299,651,2014
Thrissur Commr.,2014,Kerala,109,,0,,,17,38,98,,165,1185,2014
Thrissur Rural,2014,Kerala,298,,2,,,24,94,278,,263,761,2014
Trivandrum Commr.,2014,Kerala,254,,2,,,13,56,226,,325,4,2014
Trivandrum Rural,2014,Kerala,581,,6,,,45,122,416,,338,9,2014
Wayanadu,2014,Kerala,134,,0,,,9,75,143,,64,845,2014
Crime Branch,2014,Kerala,4,,3,,,22,2,1,,2,2698,2014
Alapuzha,2015,Kerala,201,1,0,,,22,48,274,26,222,2450,2015
Ernakulam Commr.,2015,Kerala,140,8,0,,,11,51,43,33,323,2891,2015
Ernakulam Rural,2015,Kerala,177,3,1,,,21,79,215,18,217,2166,2015
Idukki,2015,Kerala,181,1,0,,,17,85,293,8,125,4456,2015
Kannur,2015,Kerala,219,4,1,,,21,56,642,56,168,3326,2015
Kasargod,2015,Kerala,147,2,0,,,16,57,532,28,252,2423,2015
Kollam Commr.,2015,Kerala,172,5,0,,,18,56,217,43,126,2367,2015
Kollam Rural,2015,Kerala,218,0,0,,,16,52,262,9,155,3637,2015
Kottayam,2015,Kerala,153,0,0,,,21,48,220,17,164,1550,2015
Kozhikode Commr.,2015,Kerala,126,0,1,,,8,32,226,56,289,4146,2015
Kozhikode Rural,2015,Kerala,238,41,0,,,15,45,320,42,268,3233,2015
Malappuram,2015,Kerala,321,5,0,,,15,129,778,76,342,4698,2015
Palakkad,2015,Kerala,144,3,1,,,27,72,593,99,361,2845,2015
Pathanamthitta,2015,Kerala,178,2,0,,,14,62,114,16,133,4692,2015
Railways,2015,Kerala,43,0,0,,,1,1,2,11,228,3446,2015
Thrissur Commr.,2015,Kerala,102,2,0,,,6,45,108,32,175,219,2015
Thrissur Rural,2015,Kerala,267,3,2,,,19,65,304,37,238,585,2015
Trivandrum Commr.,2015,Kerala,207,1,0,,,9,38,159,45,232,1137,2015
Trivandrum Rural,2015,Kerala,603,7,1,,,34,129,287,102,318,693,2015
Wayanadu,2015,Kerala,144,2,0,,,7,104,240,13,84,16,2015
Crime Branch,2015,Kerala,6,2,1,,,16,2,1,0,2,10,2015
Alapuzha,2016,Kerala,194,,,,,14,97,209,32,187,12463,2016
Ernakulam Commr.,2016,Kerala,162,,,,,10,62,32,42,239,5454,2016
Ernakulam Rural,2016,Kerala,207,,,,,25,112,253,52,255,2597,2016
Idukki,2016,Kerala,198,,,,,10,87,248,14,182,3358,2016
Kannur,2016,Kerala,164,,,,,22,76,545,74,132,2432,2016
Kasargod,2016,Kerala,165,,,,,12,73,550,28,431,5543,2016
Kollam Commr.,2016,Kerala,180,,,,,16,76,174,42,119,3516,2016
Kollam Rural,2016,Kerala,262,,,,,18,79,211,14,104,2292,2016
Kottayam,2016,Kerala,212,,,,,22,87,215,44,240,2180,2016
Kozhikode Commr.,2016,Kerala,109,,,,,3,52,189,62,176,3862,2016
Kozhikode Rural,2016,Kerala,245,,,,,8,61,448,35,212,1439,2016
Malappuram,2016,Kerala,275,,,,,25,160,775,67,287,4733,2016
Palakkad,2016,Kerala,126,,,,,21,122,389,89,206,2870,2016
Pathanamthitta,2016,Kerala,202,,,,,12,82,94,28,146,5999,2016
Railways,2016,Kerala,36,,,,,0,0,1,12,155,2677,2016
Thrissur Commr.,2016,Kerala,67,,,,,5,46,68,24,114,4699,2016
Thrissur Rural,2016,Kerala,258,,,,,24,96,188,41,218,3602,2016
Trivandrum Commr.,2016,Kerala,250,,,,,15,66,21,71,241,201,2016
Trivandrum Rural,2016,Kerala,540,,,,,28,138,206,116,208,592,2016
Wayanadu,2016,Kerala,177,,,,,10,82,264,21,82,1049,2016
Crime Branch,2016,Kerala,0,,,,,5,2,9,0,2,628,2016
Alapuzha,2017,Kerala,,,0,20,,19,95,,29,157,1639,2017
Ernakulam Commr.,2017,Kerala,,,0,19,,11,85,,31,311,13688,2017
Ernakulam Rural,2017,Kerala,,,0,23,,17,115,,39,254,4258,2017
Idukki,2017,Kerala,,,1,16,,20,92,,12,160,3600,2017
Kannur,2017,Kerala,,,1,8,,20,74,,48,91,4264,2017
Kasargod,2017,Kerala,,,0,12,,11,85,,37,431,2586,2017
Kollam Commr.,2017,Kerala,,,1,11,,10,95,,35,126,5427,2017
Kollam Rural,2017,Kerala,,,1,11,,22,120,,13,131,3080,2017
Kottayam,2017,Kerala,,,0,19,,10,104,,41,147,2376,2017
Kozhikode Commr.,2017,Kerala,,,0,13,,7,54,,59,219,2491,2017
Kozhikode Rural,2017,Kerala,,,0,19,,5,92,,18,165,3771,2017
Malappuram,2017,Kerala,,,4,23,,18,165,,82,191,1934,2017
Palakkad,2017,Kerala,,,0,25,,27,209,,93,199,5734,2017
Pathanamthitta,2017,Kerala,,,0,6,,30,83,,24,112,2947,2017
Railways,2017,Kerala,,,0,1,,0,0,,32,175,5510,2017
Thrissur Commr.,2017,Kerala,,,0,8,,11,59,,33,185,2870,2017
Thrissur Rural,2017,Kerala,,,0,12,,23,120,,46,175,5256,2017
Trivandrum Commr.,2017,Kerala,,,0,18,,13,77,,63,263,4463,2017
Trivandrum Rural,2017,Kerala,,,4,17,,27,206,,65,282,331,2017
Wayanadu,2017,Kerala,,,0,11,,4,68,,7,65,1228,2017
Crime Branch,2017,Kerala,,,0,1,,0,5,,0,5,1582,2017
Alapuzha,2018,Kerala,261,,0,25,,12,113,,,207,17255,2018
Ernakulam Commr.,2018,Kerala,256,,1,11,,12,88,,,301,20388,2018
Ernakulam Rural,2018,Kerala,312,,0,20,,16,125,,,279,16896,2018
Idukki,2018,Kerala,231,,0,12,,18,63,,,166,6348,2018
Kannur,2018,Kerala,183,,0,12,,18,104,,,139,5836,2018
Kasargod,2018,Kerala,176,,0,10,,11,71,,,164,3775,2018
Kollam Commr.,2018,Kerala,224,,4,16,,16,80,,,118,7181,2018
Kollam Rural,2018,Kerala,303,,0,17,,26,94,,,107,14017,2018
Kottayam,2018,Kerala,218,,0,13,,15,137,,,180,8799,2018
Kozhikode Commr.,2018,Kerala,137,,0,19,,8,40,,,214,3964,2018
Kozhikode Rural,2018,Kerala,251,,2,23,,11,91,,,112,4929,2018
Malappuram,2018,Kerala,409,,2,24,,18,189,,,232,7143,2018
Palakkad,2018,Kerala,177,,1,24,,19,146,,,232,16462,2018
Pathanamthitta,2018,Kerala,186,,0,7,,16,92,,,91,8202,2018
Railways,2018,Kerala,37,,0,1,,0,0,,,159,280,2018
Thrissur Commr.,2018,Kerala,142,,1,7,,11,115,,,213,6490,2018
Thrissur Rural,2018,Kerala,181,,0,7,,15,66,,,124,5269,2018
Trivandrum Commr.,2018,Kerala,186,,1,17,,15,80,,,252,13008,2018
Trivandrum Rural,2018,Kerala,529,,2,21,,21,156,,,293,17844,2018
Wayanadu,2018,Kerala,138,,2,11,,12,86,,,63,2487,2018
Crime Branch,2018,Kerala,7,,1,0,,2,9,,,5,385,2018
PONDICHERRY,2001-2012,Puducherry,35,1,1,4,702,25,9,100,4,528,4068,2001
PONDICHERRY,2001-2012,Puducherry,59,2,5,10,828,29,6,193,6,526,4437,2002
PONDICHERRY,2001-2012,Puducherry,56,2,1,18,832,29,2,159,11,567,4517,2003
PONDICHERRY,2001-2012,Puducherry,50,0,6,10,876,25,4,147,1,634,4620,2004
PONDICHERRY,2001-2012,Puducherry,60,1,4,6,720,19,6,159,5,466,4575,2005
KARAIKAL,2001-2012,Puducherry,7,0,1,5,151,2,1,41,1,94,772,2006
PONDICHERRY,2001-2012,Puducherry,49,2,2,13,719,28,8,153,2,466,3915,2006
KARAIKAL,2001-2012,Puducherry,33,0,0,5,161,4,3,29,0,87,766,2007
PONDICHERRY,2001-2012,Puducherry,56,1,2,15,925,30,6,116,8,700,4288,2007
KARAIKAL,2001-2012,Puducherry,25,0,0,2,140,5,1,36,0,71,727,2008
PUDUCHERRY,2001-2012,Puducherry,40,10,2,15,840,30,7,129,10,617,4262,2008
KARAIKAL,2001-2012,Puducherry,16,0,0,1,99,6,0,25,0,51,724,2009
PUDUCHERRY,2001-2012,Puducherry,37,7,0,17,862,31,1,116,9,660,3867,2009
KARAIKAL,2001-2012,Puducherry,15,0,0,2,100,4,1,31,0,47,762,2010
Karaikal,2017,Puducherry,,,1,3,,3,2,,5,59,3746,2017
Puducherry,2017,Puducherry,,,1,12,,22,5,,13,593,4640,2017
Karaikal,2018,Puducherry,0,,0,0,,0,0,,,0,0,2018
Puducherry,2018,Puducherry,60,,0,34,,29,0,,,622,3606,2018
CAW,2001-2012,Delhi,0,0,0,0,0,0,0,0,0,0,187,2010
